,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude
141,2.0,1.0,900.0,2600.0,2120.001359821227,1.226,"101 Boston Ave , Medford, MA 02155",42.41832775,-71.13246077171858
142,4.0,3.5,2500.0,5200.0,5063.748997287226,1.026,"119 Burget Ave, Medford, MA 02155",42.40946036583219,-71.1176820460892
143,5.0,3.0,2600.0,6200.0,5639.7273089148575,1.099,"39 Bonner Ave, Medford, MA 02155",42.4042209,-71.10557610000001
144,6.0,4.0,3267.0,7800.0,6965.190227019833,1.119,"633 Boston Ave, Medford, MA 02155",42.4008089,-71.11257000223836
145,4.0,1.0,1500.0,3600.0,3783.8982728509854,0.951,"10 Pinkham Rd, Medford, MA 02155",42.4143143,-71.12669505
146,4.0,4.5,3000.0,5300.0,5631.52513004475,0.941,"476 Fulton St , Medford, MA 02155",42.43545847758269,-71.0965652169319
147,4.0,1.0,2500.0,5200.0,4342.256702681259,1.197,"10 Greenleaf Ave, Medford, MA 02155",42.41257625,-71.12045041202299
148,3.0,1.0,2100.0,3450.0,3454.472403183353,0.998,"7 Greenleaf Ave, Medford, MA 02155",42.41233885,-71.12076424542403
149,2.0,2.0,1000.0,3250.0,2464.4341206466406,1.318,"616 Boston Ave M, Medford, MA 02155",,
150,2.0,1.0,1000.0,2650.0,2175.8372028042545,1.217,"157 Spring St , Medford, MA 02155",42.418396440419635,-71.09214889481846
151,2.0,1.0,930.0,2750.0,2136.7521127161353,1.287,"293 Boston Ave , Medford, MA 02155",42.4124488,-71.123567648571
152,3.0,2.0,1200.0,3850.0,3240.5467341784924,1.188,"44 William St, Medford, MA 02155",42.398873,-71.106296
153,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"68 Winchester St, Medford, MA 02155",42.40086585,-71.11035839686079
154,2.0,1.0,1000.0,2575.0,2175.8372028042545,1.183,"17 Princeton St, Medford, MA 02155",42.406210570503916,-71.10931771798431
155,3.0,1.0,950.0,4200.0,2812.360208878538,1.493,"119 Burget Ave, Medford, MA 02155",42.40946036583219,-71.1176820460892
156,3.0,2.0,999.0,3850.0,3128.3166897826077,1.23,"44 William St, Medford, MA 02155",42.398873,-71.106296
157,3.0,2.0,1050.0,3850.0,3156.7929697039517,1.219,"44 William St , Medford, MA 02155",42.398873,-71.106296
158,3.0,2.0,1050.0,3850.0,3156.7929697039517,1.219,"42 William St , Medford, MA 02155",42.39891085,-71.10622030505262
159,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095
160,4.0,1.0,1500.0,4800.0,3783.8982728509854,1.268,"10 Greenleaf Ave , Medford, MA 02155",42.41257625,-71.12045041202299
161,6.0,1.5,2200.0,6600.0,5647.929487784964,1.168,"252 Harvard St , Medford, MA 02155",42.40371966666667,-71.11128233333334
162,4.0,2.0,1800.0,4225.0,4240.002719642454,0.996,"124 Bonner Ave , Medford, MA 02155",42.40513383644513,-71.10268564698171
163,5.0,1.0,999.0,6250.0,4168.601627071815,1.499,"14 Fairmount St , Medford, MA 02155",42.410373875000005,-71.120329875
164,3.0,1.0,1000.0,3900.0,2840.2781303700517,1.373,"59 Quincy St , Medford, MA 02155",42.412305694541814,-71.12607275107683
165,4.0,2.0,1350.0,3875.0,3988.7414262188304,0.971,"9 Medford St -bed, Medford, MA 02155",,
166,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"68 Winchester St, Medford, MA 02155",42.40086585,-71.11035839686079
167,4.0,1.0,1200.0,5200.0,3616.390743901903,1.437,"77 Pearson Rd, Somerville, MA 02144",42.40309195,-71.11533392344334
168,4.0,3.0,2000.0,4200.0,4640.271323450896,0.905,"231 Spring St, Medford, MA 02155",42.4212858,-71.09150790337797
169,2.0,1.0,1000.0,2700.0,2175.8372028042545,1.24,"157 Spring St, Medford, MA 02155",42.418396440419635,-71.09214889481846
170,2.0,1.0,1000.0,2700.0,2175.8372028042545,1.24,"17 Dwyer Cir, Medford, MA 02155",42.41329835,-71.1145551929637
171,3.0,1.0,1000.0,3600.0,2840.2781303700517,1.267,"112 College Ave, Medford, MA 02155",42.409305756458096,-71.11466062579515
172,2.0,1.5,800.0,3000.0,2208.4639757593927,1.358,"29 Capen St, Medford, MA 02155",42.411356749999996,-71.12375043797928
173,5.0,2.0,1200.0,6500.0,4569.428589310086,1.422,"136 Burget Ave, Medford, MA 02155",42.409172600000005,-71.11707758222346
174,6.0,3.0,2000.0,7800.0,5969.15317858249,1.306,"17 Tesla Ave, Medford, MA 02155",42.409985750000004,-71.12364008274992
175,3.0,2.5,1905.0,4000.0,3778.4878861300294,1.058,"12 Ship Ave, Medford, MA 02155",42.412673600000005,-71.0987418
176,2.0,2.0,900.0,3000.0,2408.5982776636138,1.245,"22 Bradlee Rd, Medford, MA 02155",42.419486750000004,-71.11050142838937
177,4.0,2.0,2500.0,6000.0,4630.853620523646,1.295,"39 Bonner Ave, Medford, MA 02155",42.4042209,-71.10557610000001
178,5.0,2.0,1200.0,6500.0,4569.428589310086,1.422,"57 Quincy St, Medford, MA 02155",42.41152305,-71.12681489845326
179,3.0,1.0,950.0,4050.0,2812.360208878538,1.44,"117 Burget Ave , Medford, MA 02155",42.40942025,-71.11776539680648
180,2.0,1.0,1000.0,3200.0,2175.8372028042545,1.47,"17 Princeton St, Medford, MA 02155",42.406210570503916,-71.10931771798431
181,3.0,2.0,1500.0,4500.0,3408.054263127575,1.32,"349 Salem St, Medford, MA 02155",42.42152055,-71.09624532919997
182,4.0,4.5,2100.0,5300.0,5129.002543197503,1.033,"476 Fulton St, Medford, MA 02155",42.43545847758269,-71.0965652169319
183,3.0,2.0,1680.0,4250.0,3508.5587804970246,1.211,"105 Myrtle St, Medford, MA 02155",42.415315500000005,-71.08753659999999
184,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace , Medford, MA 02155",42.41002335,-71.10747230000001
185,3.0,2.5,2000.0,4675.0,3831.5319369639055,1.22,"54 Mystic St, Medford, MA 02155",42.42096685,-71.12648336981123
186,6.0,3.0,2483.0,4600.0,6238.840300190513,0.737,"94 Monument St, Medford, MA 02155",42.41872065,-71.13416200258237
187,4.0,2.0,2000.0,4600.0,4351.674405608509,1.057,"50 Hamilton St , Medford, MA 02155",42.4130691,-71.12867831713854
188,2.0,1.0,1160.0,2800.0,2265.1745515770986,1.236,"37 Willard Ave , Medford, MA 02155",42.40296995918367,-71.10595032653062
189,3.0,2.0,1700.0,3900.0,3519.7259490936303,1.108,"132 Allston St, Medford, MA 02155",42.4239593,-71.12935652539474
190,3.0,2.5,1680.0,3850.0,3652.8572394182174,1.053,"97 Myrtle St, Medford, MA 02155",42.415315500000005,-71.08753659999999
191,2.0,2.0,1178.0,2900.0,2563.82192115643,1.131,"12 9th St , Medford, MA 02155",45.14017660113566,-90.32922253580035
192,4.0,1.0,1800.0,4400.0,3951.405801800068,1.113,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
193,3.0,3.0,2000.0,3975.0,3975.830395885099,0.999,"231 Spring St A, Medford, MA 02155",,
194,4.0,1.0,1460.0,4300.0,3761.5639356577744,1.143,"28 Hancock Ave A, Medford, MA 02155",,
195,4.0,1.0,2250.0,3400.0,4202.667095223691,0.809,"17 Stoughton St , Medford, MA 02155",42.415054,-71.12829314999999
196,5.0,2.0,1500.0,4350.0,4736.936118259169,0.918,"349 Salem St, Medford, MA 02155",42.42152055,-71.09624532919997
197,4.0,1.0,1900.0,4400.0,4007.241644783095,1.098,"27 Princeton St, Medford, MA 02155",42.406104,-71.109744
198,3.0,2.0,2000.0,4500.0,3687.2334780427127,1.22,"154 Lincoln Rd, Medford, MA 02155",42.427721399999996,-71.11657689773585
199,2.0,1.0,1000.0,2500.0,2175.8372028042545,1.148,"10 Wareham St , Medford, MA 02155",42.404059734763564,-71.10802733572598
200,2.0,2.0,875.0,3000.0,2394.6393169178564,1.252,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
201,2.0,1.0,950.0,2600.0,2147.9192813127406,1.21,"16 Emerald St , Medford, MA 02155",42.4215092,-71.09102972540164
202,2.0,2.5,1680.0,4150.0,2988.416311852421,1.388,"107 Myrtle St, Medford, MA 02155",42.415315500000005,-71.08753659999999
203,2.0,2.0,1193.0,2950.0,2572.197297603884,1.146,"22 9th St , Medford, MA 02155",45.14017660113566,-90.32922253580035
204,3.0,1.0,1314.0,3200.0,3015.6026773367576,1.061,"428 Main St , Medford, MA 02155",42.4033451,-71.1068391512818
205,6.0,5.0,2800.0,7000.0,6993.033758131482,1.0,"18 3rd St, Medford, MA 02155",42.329195166666665,-122.87631083333333
207,2.0,2.0,875.0,3200.0,2394.6393169178564,1.336,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
208,6.0,2.0,3599.0,7875.0,6573.371390038712,1.198,"14 Windsor Rd , Medford, MA 02155",42.4084747,-71.11000131723519
209,2.0,2.0,1200.0,3000.0,2576.105806612696,1.164,"30 Revere Beach Pkwy , Medford, MA 02155",42.405072000000004,-71.07939361654944
210,2.0,2.0,1150.0,3850.0,2548.1878851211823,1.51,"235 Winthrop St , Medford, MA 02155",42.4197734,-71.1172750306881
211,6.0,2.0,2500.0,8000.0,5959.73547565524,1.342,"53 Bristol Rd, Medford, MA 02155",42.40201505,-71.11435694577469
